Country,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Whisker.high,Whisker.low,Happiness.Score
Norway,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,7.59444482058287,7.47955553799868,7.53700017929077
Denmark,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,7.58172806486487,7.46227160707116,7.52199983596802
Iceland,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,7.62203047305346,7.38596990078688,7.50400018692017
Switzerland,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,7.56177242040634,7.42622749567032,7.49399995803833
Finland,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,7.52754207581282,7.41045764952898,7.4689998626709
Netherlands,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,7.42742584124207,7.32657386884093,7.3769998550415
Canada,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,7.38440283536911,7.24759713411331,7.31599998474121
New Zealand,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,7.3795104418695,7.24848981752992,7.31400012969971
Sweden,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,7.34409487739205,7.22390496239066,7.28399991989136
Australia,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,7.35665122494102,7.2113486148417,7.28399991989136
Israel,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.085242100059986,2.80175733566284,7.27985325649381,7.14614638492465,7.21299982070923
Costa Rica,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,7.16811166629195,6.98988832607865,7.0789999961853
Austria,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,7.07066981211305,6.94133027181029,7.00600004196167
United States,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,7.07465674757957,6.91134331345558,6.99300003051758
Ireland,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,1.77386903762817,7.04335166752338,6.91064880549908,6.97700023651123
Germany,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,7.00538156926632,6.89661885797977,6.95100021362305
Belgium,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2.12421035766602,6.95582075044513,6.82617883756757,6.89099979400635
Luxembourg,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,6.92368609987199,6.80231373228133,6.86299991607666
United Kingdom,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,6.78379176110029,6.64420868903399,6.71400022506714
Chile,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.082287982106209,2.50958585739136,6.73925056010485,6.56474934071302,6.65199995040894
United Arab Emirates,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,6.72204730376601,6.57395222321153,6.64799976348877
Brazil,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,6.72546950161457,6.5445309561491,6.63500022888184
Czech Republic,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.088106758892536,0.036872927099466,2.45186185836792,6.68386246263981,6.5341379493475,6.60900020599365
Argentina,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2.61400532722473,6.69008508607745,6.50791486814618,6.59899997711182
Mexico,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,6.67114890769124,6.48485122963786,6.57800006866455
Singapore,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,6.63672306910157,6.50727698430419,6.57200002670288
Malta,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,1.55686283111572,6.59839677289128,6.45560312792659,6.52699995040894
Uruguay,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,6.54590621769428,6.36209377467632,6.4539999961853
Guatemala,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.077223278582096,2.89389109611511,6.56687397271395,6.34112601965666,6.4539999961853
Panama,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,6.55713071614504,6.34686956614256,6.4520001411438
France,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,6.51576780244708,6.36823202207685,6.44199991226196
Thailand,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.031612735241652,2.03950834274292,6.50911685571074,6.33888271704316,6.42399978637695
Taiwan Province of China,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.063829235732555,2.1266074180603,6.49459602192044,6.34940384075046,6.42199993133545
Spain,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.070914097130299,1.92775774002075,6.4710548453033,6.33494491055608,6.40299987792969
Qatar,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,1.1454644203186,6.56847681432962,6.18152318567038,6.375
Colombia,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.046668741852045,2.61606812477112,6.45202005416155,6.26197969406843,6.35699987411499
Saudi Arabia,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2.0654296875,6.44416661202908,6.24383311331272,6.3439998626709
Trinidad and Tobago,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.008964816108346,2.05324745178223,6.38153389066458,5.95446655184031,6.16800022125244
Kuwait,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,1.64042520523071,6.1919569888711,6.01804304927588,6.10500001907349
Slovakia,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.024210851639509,2.09777665138245,6.1773484121263,6.01865168705583,6.09800004959106
Bahrain,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,1.65614938735962,6.17898906782269,5.99501071855426,6.08699989318848
Malaysia,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.065600708127022,2.00444889068604,6.17997963652015,5.98802058473229,6.08400011062622
Nicaragua,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2.51393055915833,6.18658360034227,5.95541659802198,6.07100009918213
Ecuador,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2.29035258293152,6.10584767535329,5.91015211865306,6.00799989700317
El Salvador,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.078257985413075,0.089980959892273,2.7145938873291,6.108635122329,5.89736444279552,6.00299978256226
Poland,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.059307806193829,1.79772281646729,6.05390834122896,5.89209175795317,5.97300004959106
Uzbekistan,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,1.81691360473633,6.06553757295012,5.876462816149,5.97100019454956
Italy,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.028028091415763,1.81331205368042,6.04273690596223,5.88526354417205,5.96400022506714
